Program,Year,Period,Region,Commodity,Data Item,Domain Category,Value,MOA
SURVEY,2002,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (RIMSULFURON = 129009)",0.01,2
SURVEY,2002,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (S-METOLACHLOR = 108800)",10230000,15
SURVEY,2002,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (S-METOLACHLOR = 108800)",1.33,15
SURVEY,2002,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (SIMAZINE = 80807)",1583000,5
SURVEY,2002,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (SIMAZINE = 80807)",1.04,5
SURVEY,2002,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (TOTAL)",95777000,NA
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (2,4-D = 30001)",1468000,4
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (2,4-D = 30001)",0.41,4
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (2,4-D, 2-EHE = 30063)",388000,4
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (2,4-D, 2-EHE = 30063)",0.48,4
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (2,4-D, DIMETH. SALT = 30019)",17000,4
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (2,4-D, DIMETH. SALT = 30019)",0.21,4
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (ACETOCHLOR = 121601)",36067000,15
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (ACETOCHLOR = 121601)",1.88,15
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (ALACHLOR = 90501)",2615000,15
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (ALACHLOR = 90501)",1.72,15
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (AMETRYN = 80801)",82000,5
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (AMETRYN = 80801)",1.12,5
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (ATRAZINE = 80803)",55642000,5
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (ATRAZINE = 80803)",1.04,5
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (BROMOXYNIL = 35301)",327000,6
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (BROMOXYNIL = 35301)",0.27,6
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (CARFENTRAZONE-ETHYL = 128712)",6000,14
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (CARFENTRAZONE-ETHYL = 128712)",0.009,14
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (CLOPYRALID = 117403)",520000,4
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (CLOPYRALID = 117403)",0.1,4
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (CYANAZINE = 100101)",102000,5
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (CYANAZINE = 100101)",0.98,5
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (DICAMBA = 29801)",1051000,4
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (DICAMBA = 29801)",0.18,4
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (DICAMBA, DIMET. SALT = 29802)",292000,4
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (DICAMBA, DIMET. SALT = 29802)",0.1,4
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (DICAMBA, POT. SALT = 129043)",1044000,4
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (DICAMBA, POT. SALT = 129043)",0.37,4
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (DICAMBA, SODIUM SALT = 29806)",118000,4
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (DICAMBA, SODIUM SALT = 29806)",0.12,4
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (DICHLORPROP = 31401)",18000,4
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (DICHLORPROP = 31401)",0.27,4
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (DIFLUFENZOPYR-SODIUM = 5107)",133000,19
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (DIFLUFENZOPYR-SODIUM = 5107)",0.04,19
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (DIMETHENAMID = 129051)",1442000,15
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (DIMETHENAMID = 129051)",0.84,15
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (DIMETHENAMID-P = 120051)",1668000,15
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (DIMETHENAMID-P = 120051)",0.5,15
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (EPTC = 41401)",566000,8
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (EPTC = 41401)",3.54,8
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (FLUFENACET = 121903)",731000,15
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (FLUFENACET = 121903)",0.42,15
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (FLUMETSULAM = 129016)",214000,2
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (FLUMETSULAM = 129016)",0.04,2
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (FORAMSULFURON = 122020)",27000,2
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (FORAMSULFURON = 122020)",0.03,2
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (GLUFOSINATE-AMMONIUM = 128850)",833000,10
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (GLUFOSINATE-AMMONIUM = 128850)",0.32,10
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (GLYPHOSATE = 417300)",11913000,9
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (GLYPHOSATE = 417300)",0.69,9
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (GLYPHOSATE DIA. SALT = 103607)",438000,9
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (GLYPHOSATE DIA. SALT = 103607)",0.69,9
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (HALOSULFURON = 128721)",20000,2
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (HALOSULFURON = 128721)",0.03,2
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (IMAZAPYR = 128821)",4000,2
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (IMAZAPYR = 128821)",0.002,2
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (IMAZETHAPYR = 128922)",11000,2
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (IMAZETHAPYR = 128922)",0.007,2
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (ISOXAFLUTOLE = 123000)",321000,27
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (ISOXAFLUTOLE = 123000)",0.06,27
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (LINURON = 35506)",93000,7
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (LINURON = 35506)",0.7,7
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (MESOTRIONE = 122990)",976000,27
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (MESOTRIONE = 122990)",0.1,27
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (METOLACHLOR = 108801)",6384000,15
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (METOLACHLOR = 108801)",1.57,15
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (METRIBUZIN = 101101)",67000,5
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (METRIBUZIN = 101101)",0.13,5
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (NICOSULFURON = 129008)",166000,2
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (NICOSULFURON = 129008)",0.02,2
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (PARAQUAT = 61601)",381000,22
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (PARAQUAT = 61601)",0.51,22
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (PENDIMETHALIN = 108501)",1727000,3
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (PENDIMETHALIN = 108501)",1.03,3
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (PRIMISULFURON = 128973)",83000,2
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (PRIMISULFURON = 128973)",0.02,2
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (PROSULFURON = 129031)",17000,2
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (PROSULFURON = 129031)",0.009,2
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (RIMSULFURON = 129009)",77000,2
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (RIMSULFURON = 129009)",0.01,2
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (S-METOLACHLOR = 108800)",18948000,15
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (S-METOLACHLOR = 108800)",1.36,15
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (SIMAZINE = 80807)",1492000,5
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (SIMAZINE = 80807)",1.01,5
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (SULFOSATE = 128501)",249000,9
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (SULFOSATE = 128501)",1.22,9
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (THIFENSULFURON = 128845)",3000,2
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (THIFENSULFURON = 128845)",0.006,2
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (TOTAL)",149136000,NA
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (TRIFLURALIN = 36101)",75000,3
SURVEY,2003,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (TRIFLURALIN = 36101)",0.69,3
SURVEY,2005,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (2,4-D, 2-EHE = 30063)",1160000,4
SURVEY,2005,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (2,4-D, 2-EHE = 30063)",0.45,4
SURVEY,2005,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (2,4-D, BEE = 30053)",126000,4
SURVEY,2005,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (2,4-D, BEE = 30053)",0.339,4
SURVEY,2005,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (2,4-D, DIETH. SALT = 30016)",25000,4
SURVEY,2005,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (2,4-D, DIETH. SALT = 30016)",0.451,4
SURVEY,2005,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (2,4-D, DIMETH. SALT = 30019)",799000,4
SURVEY,2005,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (2,4-D, DIMETH. SALT = 30019)",0.352,4
SURVEY,2005,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (2,4-D, ISOPROP. SALT = 30025)",38000,4
SURVEY,2005,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (2,4-D, ISOPROP. SALT = 30025)",0.068,4
SURVEY,2005,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (ACETOCHLOR = 121601)",29802000,15
SURVEY,2005,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (ACETOCHLOR = 121601)",1.645,15
SURVEY,2005,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (ALACHLOR = 90501)",1562000,15
SURVEY,2005,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (ALACHLOR = 90501)",1.747,15
SURVEY,2005,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (AMETRYN = 80801)",18000,5
SURVEY,2005,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (AMETRYN = 80801)",0.857,5
SURVEY,2005,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (ATRAZINE = 80803)",57390000,5
SURVEY,2005,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (ATRAZINE = 80803)",1.028,5
SURVEY,2005,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (BROMOXYNIL = 35301)",199000,6
SURVEY,2005,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (BROMOXYNIL = 35301)",0.243,6
SURVEY,2005,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (BROMOXYNIL HEPTAN. = 128920)",56000,6
SURVEY,2005,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (BROMOXYNIL HEPTAN. = 128920)",0.25,6
SURVEY,2005,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (BROMOXYNIL OCTANOATE = 35302)",85000,6
SURVEY,2005,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (BROMOXYNIL OCTANOATE = 35302)",0.251,6
SURVEY,2005,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (CARFENTRAZONE-ETHYL = 128712)",5000,14
SURVEY,2005,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (CARFENTRAZONE-ETHYL = 128712)",0.013,14
SURVEY,2005,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (CLOPYRALID = 117403)",449000,4
SURVEY,2005,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (CLOPYRALID = 117403)",0.11,4
SURVEY,2005,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (CYANAZINE = 100101)",389000,5
SURVEY,2005,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (CYANAZINE = 100101)",1.337,5
SURVEY,2005,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (DICAMBA = 29801)",154000,4
SURVEY,2005,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (DICAMBA = 29801)",0.137,4
SURVEY,2005,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (DICAMBA, DIGLY. SALT = 128931)",377000,4
SURVEY,2005,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (DICAMBA, DIGLY. SALT = 128931)",0.198,4
SURVEY,2005,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (DICAMBA, DIMET. SALT = 29802)",302000,4
SURVEY,2005,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (DICAMBA, DIMET. SALT = 29802)",0.146,4
SURVEY,2005,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (DICAMBA, POT. SALT = 129043)",557000,4
SURVEY,2005,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (DICAMBA, POT. SALT = 129043)",0.354,4
SURVEY,2005,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (DICAMBA, SODIUM SALT = 29806)",349000,4
SURVEY,2005,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (DICAMBA, SODIUM SALT = 29806)",0.103,4
SURVEY,2005,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (DIFLUFENZOPYR-SODIUM = 5107)",123000,19
SURVEY,2005,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (DIFLUFENZOPYR-SODIUM = 5107)",0.04,19
SURVEY,2005,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (DIMETHENAMID = 129051)",685000,15
SURVEY,2005,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (DIMETHENAMID = 129051)",1.144,15
SURVEY,2005,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (DIMETHENAMID-P = 120051)",2372000,15
SURVEY,2005,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (DIMETHENAMID-P = 120051)",0.741,15
SURVEY,2005,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (FLUFENACET = 121903)",725000,15
SURVEY,2005,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (FLUFENACET = 121903)",0.378,15
SURVEY,2005,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (FLUMETSULAM = 129016)",200000,2
SURVEY,2005,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (FLUMETSULAM = 129016)",0.045,2
